Index,TagTime,Title,Artist,URL,TrackKey
1,2024-08-25,Take Me Out,Franz Ferdinand,https://www.shazam.com/track/20154633/take-me-out,20154633
2,2024-08-25,Take Me Out,Franz Ferdinand,https://www.shazam.com/track/20154633/take-me-out,20154633
3,2024-08-21,La Quebradora,Banda El Recodo de Cruz Lizárraga,https://www.shazam.com/track/54457403/la-quebradora,54457403
4,2024-08-14,Tiroteo (Remix),"Marc Segui, Rauw Alejandro & Pol Granch",https://www.shazam.com/track/563673449/tiroteo-remix,563673449
5,2024-08-10,New Era,T-Mark,https://www.shazam.com/track/582662262/new-era,582662262
6,2024-08-08,Kilómetros,Los Caligaris,https://www.shazam.com/track/46765853/kil%C3%B3metros,46765853
7,2024-08-07,Elovrga,"Alex Favela, Grupo Marca Registrada & Joaquin Medina",https://www.shazam.com/track/675607914/elovrga,675607914
8,2024-08-02,Let It Ring,Damien N-Drix & STV,https://www.shazam.com/track/358938396/let-it-ring,358938396
9,2024-08-02,The Last Time (feat. Leon Lincoln) [Qubiko Remix],Saison,https://www.shazam.com/track/458835383/the-last-time-feat-leon-lincoln-qubiko-remix,458835383
10,2024-07-31,Wiener Blut,Rammstein,https://www.shazam.com/track/50881225/wiener-blut,50881225
11,2024-07-23,Muerte en Hawaii,Calle 13,https://www.shazam.com/track/53051575/muerte-en-hawaii,53051575
12,2024-07-23,My Ordinary Life,The Living Tombstone,https://www.shazam.com/track/384630099/my-ordinary-life,384630099
13,2024-07-15,Spiritualem Pugnam,Wafers 3D,https://www.shazam.com/track/671362117/spiritualem-pugnam,671362117
14,2024-07-15,Eternity,Anyma & Chris Avantgarde,https://www.shazam.com/track/628123965/eternity,628123965
15,2024-07-12,El Diablo,COMPAY QUINTO,https://www.shazam.com/track/371686047/el-diablo,371686047
16,2024-07-04,LUNCH,Billie Eilish,https://www.shazam.com/track/697921207/lunch,697921207
17,2024-04-17,POP GRUPERO ECOS VOL 1,VDJ AGREV,https://www.shazam.com/track/603788995/pop-grupero-ecos-vol-1,603788995
18,2024-03-20,نغمات هادئة للاسترخاء والتخلص من الضغط,Erami beats,https://www.shazam.com/track/669308916/%D9%86%D8%BA%D9%85%D8%A7%D8%AA-%D9%87%D8%A7%D8%AF%D8%A6%D8%A9-%D9%84%D9%84%D8%A7%D8%B3%D8%AA%D8%B1%D8%AE%D8%A7%D8%A1-%D9%88%D8%A7%D9%84%D8%AA%D8%AE%D9%84%D8%B5-%D9%85%D9%86-%D8%A7%D9%84%D8%B6%D8%BA%D8%B7,669308916
19,2024-03-16,Setsunai Koi No Prelude,Suguru Matsutani,https://www.shazam.com/track/155242768/%E5%88%87%E3%81%AA%E3%81%84%E6%81%8B%E3%81%AE%E3%83%97%E3%83%AC%E3%83%AA%E3%83%A5%E3%83%BC%E3%83%89,155242768
20,2024-01-01,Flowers,Miley Cyrus,https://www.shazam.com/track/648859694/flowers,648859694
21,2024-01-01,Bano (feat. Hansika Pareek),Tushar Lall,https://www.shazam.com/track/570221855/bano-feat-hansika-pareek,570221855
22,2023-12-31,Hazme Una Señal,Roberto Jordán,https://www.shazam.com/track/68954227/hazme-una-se%C3%B1al,68954227
23,2023-12-28,Her Eyes the Stars,Patrik Berg Almkvisth & LUCHS,https://www.shazam.com/track/373910344/her-eyes-the-stars,373910344
24,2023-12-26,Liebesleid,Rousseau,https://www.shazam.com/track/504553111/liebesleid,504553111
25,2023-12-26,Cita en el Jardín de las Rosas,DJ Urbek,https://www.shazam.com/track/401008712/cita-en-el-jard%C3%ADn-de-las-rosas,401008712
26,2023-12-24,5 More Days 'Til Summer,Lenny Kravitz,https://www.shazam.com/track/416002705/5-more-days-til-summer,416002705
27,2023-12-24,La Carencia,Panteón Rococó,https://www.shazam.com/track/40423505/la-carencia,40423505
28,2023-12-23,Tengo Ganas (Salsa Version),Victor Manuelle,https://www.shazam.com/track/40379591/tengo-ganas-salsa-version,40379591
29,2023-12-23,La Inconforme (En Vivo),Grupo G,https://www.shazam.com/track/55954943/la-inconforme-en-vivo,55954943
30,2023-12-23,La Inconforme (En Vivo),Grupo G,https://www.shazam.com/track/55954943/la-inconforme-en-vivo,55954943
31,2023-12-22,California Love (feat. Roger Troutman & Dr. Dre),2Pac,https://www.shazam.com/track/5217223/california-love-feat-roger-troutman-dr-dre,5217223
32,2023-12-20,Recostada En La Cama (Se Canso De Esperar),El Chapo De Sinaloa,https://www.shazam.com/track/42801394/recostada-en-la-cama-se-canso-de-esperar,42801394
